size,cond_number,cond_log10,abs_error,rel_error,residual,residual_rel,digits_lost,success
2,19.28147006790397,1.285140142535685,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0,1.285140142535685,True
3,524.0567775860644,2.719378342053404,8.215650382226158e-15,8.215650382226158e-15,0.0,0.0,2.719378342053404,True
4,15513.73873892924,4.19071647337884,3.97237798210881e-13,3.97237798210881e-13,0.0,0.0,4.19071647337884,True
5,476607.25024259434,5.678160644633185,1.1226575225009583e-12,1.1226575225009583e-12,4.440892098500626e-16,1.9449162475185225e-16,5.678160644633185,True
6,14951058.642254665,7.174671944915424,2.313654823282718e-10,2.313654823282718e-10,1.1102230246251565e-16,4.5315225494904356e-17,7.174671944915424,True
7,475367356.583129,8.677029355468376,9.268621870006655e-09,9.268621870006655e-09,2.220446049250313e-16,8.56370377121333e-17,8.677029355468376,True
8,15257575538.060041,10.183485528763413,1.0904592673277591e-07,1.0904592673277591e-07,1.1102230246251565e-16,4.0849204585419694e-17,10.183485528763413,True
9,493153756446.8762,11.69298234557671,8.91499750277358e-06,8.91499750277358e-06,2.220446049250313e-16,7.848960645407195e-17,11.69298234557671,True
10,16024416992541.715,13.204782237783494,0.00010924827123837133,0.00010924827123837133,2.220446049250313e-16,7.580983666319997e-17,13.204782237783494,True
11,522267793928033.5,14.71789324553719,0.00017426525528208003,0.00017426525528208003,4.440892098500626e-16,1.470553797833467e-16,14.71789324553719,True
12,1.7514731907091464e+16,16.243403494085232,0.3664111460643653,0.3664111460643653,4.440892098500626e-16,1.4310636817804647e-16,16.243403494085232,True
13,3.344143497338461e+18,18.524284904761345,2.0679004364285287,2.0679004364285287,2.220446049250313e-16,6.982241063495526e-17,18.524284904761345,True
14,6.200786263161444e+17,17.792446761772794,6.030696079938638,6.030696079938638,4.440892098500626e-16,1.3657717898323985e-16,17.792446761772794,True
15,3.674392953467974e+17,17.565185599546567,5.947575796802994,5.947575796802994,2.220446049250313e-16,6.691660080667249e-17,17.565185599546567,True
